144.957670 -37.807620  --> Census year: 2016 || Block ID: 113 || Property ID: 110689 || Base Property ID: 108118 || CLUE small area: China (CBD) ||  Trading Name: Amott Quality Meats ||  Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 113 || Property ID: 110684 || Base Property ID: 108118 || CLUE small area: Melbourne (CBD) ||  Trading Name: Spotty Dot ||  Industry (ANZSIC4) code: 4243 || Industry (ANZSIC4) description: Toy and Game Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

144.957670 -37.807620  --> Census year: 2016 || Block ID: 113 || Property ID: 110689 || Base Property ID: 108118 || CLUE small area: China (CBD) ||  Trading Name: Amott Quality Meats ||  Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 113 || Property ID: 110684 || Base Property ID: 108118 || CLUE small area: Melbourne (CBD) ||  Trading Name: Spotty Dot ||  Industry (ANZSIC4) code: 4243 || Industry (ANZSIC4) description: Toy and Game Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base Property ID: 109263 || CLUE small area: Melbourne (CBD) ||  Trading Name: Li Fine Art Studio ||  Industry (ANZSIC4) code: 9002 || Industry (ANZSIC4) description: Creative Artists, Musicians, Writers and Performers || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674, 144.9667) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base Property ID: 109263 || CLUE small area: Melbourne (CBD) ||  Trading Name: Ms Lynley Faye Traeger ||  Industry (ANZSIC4) code: 2591 || Industry (ANZSIC4) description: Jewellery and Silverware Manufacturing || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674, 144.9667) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base Property ID: 109418 || CLUE small area: Melbourne (CBD) ||  Trading Name: Vacant ||  Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96743 || y coordinate: -37.81584 || Location: (-37.81584, 144.96743) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base Property ID: 109418 || CLUE small area: Melbourne (CBD) ||  Trading Name: Vacant ||  Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96743 || y coordinate: -37.81584 || Location: (-37.81584, 144.96743) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 16 || Property ID: 103935 || Base Property ID: 103935 || CLUE small area: Melbourne (CBD) ||  Trading Name: Bestec ||  Industry (ANZSIC4) code: 6923 || Industry (ANZSIC4) description: Engineering Design and Engineering Consulting Services || x coordinate: 144.96868 || y coordinate: -37.81619 || Location: (-37.81619, 144.96868) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 16 || Property ID: 103935 || Base Property ID: 103935 || CLUE small area: Melbourne (CBD) ||  Trading Name: Lion Manager ||  Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.96868 || y coordinate: -37.81619 || Location: (-37.81619, 144.96868) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 16 || Property ID: 108532 || Base Property ID: 108532 || CLUE small area: Melbourne (CBD) ||  Trading Name: Bang & Olufsen ||  Industry (ANZSIC4) code: 4229 || Industry (ANZSIC4) description: Other Electrical and Electronic Goods Retailing || x coordinate: 144.96925 || y coordinate: -37.81599 || Location: (-37.81599, 144.96925) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 16 || Property ID: 108532 || Base Property ID: 108532 || CLUE small area: Melbourne (CBD) ||  Trading Name: Whiskey Den ||  Industry (ANZSIC4) code: 4520 || Industry (ANZSIC4) description: Pubs, Taverns and Bars || x coordinate: 144.96925 || y coordinate: -37.81599 || Location: (-37.81599, 144.96925) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 6 || Property ID: 578317 || Base Property ID: 573333 || CLUE small area: Melbourne (CBD) ||  Trading Name: Melbourne Visitor Centre ||  Industry (ANZSIC4) code: 7530 || Industry (ANZSIC4) description: Local Government Administration || x coordinate: 144.97052 || y coordinate: -37.81778 || Location: (-37.81778, 144.97052) ||

