Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2016,113,110689,108118,China (CBD),Amott Quality Meats,4121,"Fresh Meat, Fish and Poultry Retailing",10,-37,"(-37.80762482, 144.9576703)"
2018,15,109263,109263,Melbourne (CBD),Li Fine Art Studio,9002,"Creative Artists, Musicians, Writers and Performers",144.9667,-37.81674,"(-37.81674246, 144.966704)"
2018,113,110691,108118,Melbourne (CBD),The French Shop,4129,Other Specialised Food Retailing,20,-22,"(-37.80762482, 144.9576703)"
2017,111,110689,108118,Zakarya (CBD),QV Meats,4121,"Fresh Meat, Fish and Poultry Retailing",144.95767,-37.80762,"(-37.80762482, 144.9576703)"
2015,112,110689,108118,Melbourne (CBD),Amott Quality Meats,4121,"Fresh Meat, Fish and Poultry Retailing",134.95767,-27.80762,"(-37.80762482, 144.9576703)"
2018,113,110691,108118,Melbourne (CBD),The French Shop,4129,Other Specialised Food Retailing,124.95767,-337.80762,"(-37.80762482, 144.9576703)"
2013,113,110691,108118,Melbourne (CBD),The Traditional Pasta Shop,4129,Other Specialised Food Retailing,114.95767,-337.80762,"(-37.80762482, 144.9576703)"
2018,113,110691,108118,Melbourne (CBD),Polish Deli,4129,Other Specialised Food Retailing,144.95767,-37.80762,"(-37.80762482, 144.9576703)"
2018,113,110691,108118,Melbourne (CBD),Gewurzhaus Herb & Spice Merchants,4129,Other Specialised Food Retailing,144.95767,-37.80762,"(-37.80762482, 144.9576703)"
2016,113,110689,108118,China (CBD),Amott Quality Meats,4121,"Fresh Meat, Fish and Poultry Retailing",10,-37,"(-37.80762482, 144.9576703)"
2018,15,109263,109263,Melbourne (CBD),Li Fine Art Studio,9002,"Creative Artists, Musicians, Writers and Performers",144.9667,-37.81674,"(-37.81674246, 144.966704)"
2018,113,110691,108118,Melbourne (CBD),The French Shop,4129,Other Specialised Food Retailing,20,-22,"(-37.80762482, 144.9576703)"
2017,111,110689,108118,Zakarya (CBD),QV Meats,4121,"Fresh Meat, Fish and Poultry Retailing",144.95767,-37.80762,"(-37.80762482, 144.9576703)"
2015,112,110689,108118,Melbourne (CBD),Amott Quality Meats,4121,"Fresh Meat, Fish and Poultry Retailing",134.95767,-27.80762,"(-37.80762482, 144.9576703)"
2018,113,110691,108118,Melbourne (CBD),The French Shop,4129,Other Specialised Food Retailing,124.95767,-337.80762,"(-37.80762482, 144.9576703)"
2013,113,110691,108118,Melbourne (CBD),The Traditional Pasta Shop,4129,Other Specialised Food Retailing,114.95767,-337.80762,"(-37.80762482, 144.9576703)"
2018,113,110691,108118,Melbourne (CBD),Polish Deli,4129,Other Specialised Food Retailing,144.95767,-37.80762,"(-37.80762482, 144.9576703)"
2018,113,110691,108118,Melbourne (CBD),Gewurzhaus Herb & Spice Merchants,4129,Other Specialised Food Retailing,144.95767,-37.80762,"(-37.80762482, 144.9576703)"
