Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,95,109314,109314,Melbourne (CBD),Red Love Bar Musicroom,4520,"Pubs, Taverns and Bars",144.96322,-37.80904,"(-37.80904299, 144.9632177)"
2018,87,108567,108567,Melbourne (CBD),Jankara Karaoke,4520,"Pubs, Taverns and Bars",144.9669,-37.80952,"(-37.80951656, 144.9669038)"
2018,87,106057,106057,Melbourne (CBD),Troika Bar,4520,"Pubs, Taverns and Bars",144.96859,-37.80915,"(-37.80915426, 144.9685897)"
2018,87,101023,101023,Melbourne (CBD),Bennetts Lane Jazz Club,4520,"Pubs, Taverns and Bars",144.96756,-37.80889,"(-37.8088919, 144.9675577)"
2018,85,109302,109302,Melbourne (CBD),Mui Karaoke,4520,"Pubs, Taverns and Bars",144.96436,-37.81143,"(-37.81143183, 144.9643593)"
2018,85,105746,105746,Melbourne (CBD),Party World,4520,"Pubs, Taverns and Bars",144.96276,-37.8109,"(-37.81090175, 144.9627564)"
2018,85,105746,105746,Melbourne (CBD),Melbourne Central Lion Hotel,4520,"Pubs, Taverns and Bars",144.96276,-37.8109,"(-37.81090175, 144.9627564)"
2018,85,105746,105746,Melbourne (CBD),Diesel Bar,4520,"Pubs, Taverns and Bars",144.96276,-37.8109,"(-37.81090175, 144.9627564)"
2018,85,105746,105746,Melbourne (CBD),B. Lucky & Sons,4520,"Pubs, Taverns and Bars",144.96276,-37.8109,"(-37.81090175, 144.9627564)"
2018,85,102597,102597,Melbourne (CBD),Baroq House,4520,"Pubs, Taverns and Bars",144.96397,-37.8113,"(-37.81130312, 144.96397)"
2018,85,102596,102596,Melbourne (CBD),Sister Bella,4520,"Pubs, Taverns and Bars",144.96382,-37.81135,"(-37.81134911, 144.9638167)"
2018,84,106037,106037,Melbourne (CBD),Alchemist's Refuge,4520,"Pubs, Taverns and Bars",144.95994,-37.81167,"(-37.81167474, 144.9599405)"
2018,84,103207,103207,Melbourne (CBD),The Meeting Place,4520,"Pubs, Taverns and Bars",144.96147,-37.81125,"(-37.81124999, 144.9614709)"
2018,78,110721,580091,Melbourne (CBD),The Fringe,4520,"Pubs, Taverns and Bars",144.97073,-37.80919,"(-37.8091852, 144.970729)"
2018,78,103618,103618,Melbourne (CBD),Coopers Inn,4520,"Pubs, Taverns and Bars",144.96998,-37.80942,"(-37.80941511, 144.9699756)"
2018,77,108580,108580,Melbourne (CBD),The Red Hummingbird,4520,"Pubs, Taverns and Bars",144.96733,-37.81047,"(-37.81047429, 144.9673261)"
2018,77,108573,108573,Melbourne (CBD),Whisky and Alement,4520,"Pubs, Taverns and Bars",144.96716,-37.81011,"(-37.81011058, 144.9671579)"
2018,76,589841,105749,Melbourne (CBD),Idarts Hive,4520,"Pubs, Taverns and Bars",144.9657,-37.81068,"(-37.81067862, 144.9657001)"
2018,76,589841,105749,Melbourne (CBD),Father's Office,4520,"Pubs, Taverns and Bars",144.9657,-37.81068,"(-37.81067862, 144.9657001)"
2018,74,106018,106018,Melbourne (CBD),Horse Bazaar,4520,"Pubs, Taverns and Bars",144.96025,-37.8119,"(-37.81190062, 144.96025)"
2018,74,106017,106017,Melbourne (CBD),La La Land,4520,"Pubs, Taverns and Bars",144.96034,-37.81187,"(-37.81187419, 144.9603413)"
2018,74,105736,105736,Melbourne (CBD),National Hospitality Management,4520,"Pubs, Taverns and Bars",144.96023,-37.81261,"(-37.81261382, 144.9602253)"
2018,74,104662,104662,Melbourne (CBD),Mjolner Melbourne,4520,"Pubs, Taverns and Bars",144.96068,-37.81214,"(-37.81213636, 144.9606803)"
2018,74,104662,104662,Melbourne (CBD),Mjolner Melbourne,4520,"Pubs, Taverns and Bars",144.96068,-37.81214,"(-37.81213636, 144.9606803)"
